value,type,description
"f703dd29c332c8a51c0e82109d983716869911d0,39625114fe25c055d261ee0c427a5ca3022b58a5654d6da1222898ccfd3a8013,e368f18e139ffd5285ce6bb8f4a5b7d4",file,SLIVER sample
"f7cee92c44272fe5d5d43e3b25634b9fa4c538ff,008f39e371a1e1467491c142eb0830432f0054b4186715946277e157d58f5d0e,f70aa2a4274c4600d7ec8a65a1d00e66",file,PNGEXE sample
"fa82e1b402c63d21ce15f230b32ba97ce1402b43,89f5c94bc8b8710b57906244c7e64b7e1933b33123d8e2034f2117feb39f8d14,e96e14bbc5b19c973228a72ce23e42cf",file,XESKim sample
addthiis.com,hostname,Infrastructure and samples uncovered relating to Vietnamese Credit Card Skimming actor XEGroup.
addthiis.net,hostname,Infrastructure and samples uncovered relating to Vietnamese Credit Card Skimming actor XEGroup.
adfs.xegroups.com,hostname,Infrastructure and samples uncovered relating to Vietnamese Credit Card Skimming actor XEGroup.
ajax.googleapis.com.hivnd.com,hostname,Infrastructure and samples uncovered relating to Vietnamese Credit Card Skimming actor XEGroup.
amazon.xegroups.com,hostname,Infrastructure and samples uncovered relating to Vietnamese Credit Card Skimming actor XEGroup.
baucua.com,hostname,Infrastructure and samples uncovered relating to Vietnamese Credit Card Skimming actor XEGroup.
buygetdiscount.com,hostname,Infrastructure and samples uncovered relating to Vietnamese Credit Card Skimming actor XEGroup.
ccn.xegroups.com,hostname,Infrastructure and samples uncovered relating to Vietnamese Credit Card Skimming actor XEGroup.
cdn-xhr.com,hostname,Infrastructure and samples uncovered relating to Vietnamese Credit Card Skimming actor XEGroup.
cf.addthiis.com,hostname,Infrastructure and samples uncovered relating to Vietnamese Credit Card Skimming actor XEGroup.
dongtanphat.com,hostname,Infrastructure and samples uncovered relating to Vietnamese Credit Card Skimming actor XEGroup.
email.paycashs.com,hostname,Infrastructure and samples uncovered relating to Vietnamese Credit Card Skimming actor XEGroup.
emvnhim.com,hostname,Infrastructure and samples uncovered relating to Vietnamese Credit Card Skimming actor XEGroup.
ftp.paycashs.com,hostname,Infrastructure and samples uncovered relating to Vietnamese Credit Card Skimming actor XEGroup.
ftp.xework.com,hostname,Infrastructure and samples uncovered relating to Vietnamese Credit Card Skimming actor XEGroup.
google-analytics.com.hivnd.com,hostname,Infrastructure and samples uncovered relating to Vietnamese Credit Card Skimming actor XEGroup.
guiquare.com,hostname,Infrastructure and samples uncovered relating to Vietnamese Credit Card Skimming actor XEGroup.
hegpt.com,hostname,Infrastructure and samples uncovered relating to Vietnamese Credit Card Skimming actor XEGroup.
hivnd.com,hostname,Infrastructure and samples uncovered relating to Vietnamese Credit Card Skimming actor XEGroup.
hivnd.net,hostname,Infrastructure and samples uncovered relating to Vietnamese Credit Card Skimming actor XEGroup.
