value,entity_type,description
"fe7e7a5a1b1d634dec3fc9c6bc91c6e96ec635fece5af10cfac894fd228ca38d,9244a07ce8f961317ba49e497009e55889f1d50d,9012904377e6934797c8689b8c9268c6",file,UTA0137 related indicators
"ead993c1d537c239750e19a5700a58501dab319d5d271bf85137608448c1faa0,40e4b466e41b440ff62d9ef35f7034fd157ca625,b4983913d49a2a49545ebe59cd27a7d1",file,UTA0137 related indicators
"5ef431a481c9baeb1d8cfaf6e1c323531a57c14a5b878575b267f2f969451fdb,fc5ccb2b0a0b536ccb9687c67cc4ce735b866635,2c06e31bc2969df108697061325b2e8a",file,UTA0137 related indicators
admincoord.in,hostname,UTA0137 related indicators
apsdelhicantt.in,hostname,UTA0137 related indicators
awesindia.online,hostname,UTA0137 related indicators
certdehli.in,hostname,UTA0137 related indicators
clawsindia.in,hostname,UTA0137 related indicators
coordsec2.in,hostname,UTA0137 related indicators
emailnic-tech.email,hostname,UTA0137 related indicators
estbsec.in,hostname,UTA0137 related indicators
outlook.emailnic.online,hostname,UTA0137 related indicators
mail.defenseinsight.in,hostname,UTA0137 related indicators
account.emailnic.online,hostname,UTA0137 related indicators
webdisk.defenseinsight.in,hostname,UTA0137 related indicators
m.emailnic.online,hostname,UTA0137 related indicators
www.defenseinsight.in,hostname,UTA0137 related indicators
login.emailnic.online,hostname,UTA0137 related indicators
www.infosec2.in,hostname,UTA0137 related indicators
esttsec.in,hostname,UTA0137 related indicators
infosec2.in,hostname,UTA0137 related indicators
cloud.publicinfo.in,hostname,UTA0137 related indicators
publicinfo.in,hostname,UTA0137 related indicators
email.publicinfo.in,hostname,UTA0137 related indicators
ftp.publicinfo.in,hostname,UTA0137 related indicators
www.publicinfo.in,hostname,UTA0137 related indicators
_dc-mx.ae172f95f2ec.defenseinsight.in,hostname,UTA0137 related indicators
insight.defenseinsight.in,hostname,UTA0137 related indicators
www.emailnic.online,hostname,UTA0137 related indicators
www.awesscholarship.in,hostname,UTA0137 related indicators
ordai.quest,hostname,UTA0137 related indicators
email.gov.in.parichay.online,hostname,UTA0137 related indicators
email.parichay.online,hostname,UTA0137 related indicators
emailnic.online,hostname,UTA0137 related indicators
parichay.online,hostname,UTA0137 related indicators
www.awesindia.online,hostname,UTA0137 related indicators
www.certdehli.in,hostname,UTA0137 related indicators
www.esttsec.in,hostname,UTA0137 related indicators
www.ordai.quest,hostname,UTA0137 related indicators
ww12.epar-online.in,hostname,UTA0137 related indicators
accounts.emailnic.online,hostname,UTA0137 related indicators
www.epar-online.in,hostname,UTA0137 related indicators
play.emailnic.online,hostname,UTA0137 related indicators
email.emailnic.online,hostname,UTA0137 related indicators
email.emailnic-tech.email,hostname,UTA0137 related indicators
epar.emailnic-tech.email,hostname,UTA0137 related indicators
www.emailnic-tech.email,hostname,UTA0137 related indicators
www.nic-tech.in,hostname,UTA0137 related indicators
pcda.admincoord.in,hostname,UTA0137 related indicators
www.admincoord.in,hostname,UTA0137 related indicators
email.apsdelhicantt.in,hostname,UTA0137 related indicators
www.apsdelhicantt.in,hostname,UTA0137 related indicators
smtp.mail.clawsindia.in,hostname,UTA0137 related indicators
sql.clawsindia.in,hostname,UTA0137 related indicators
test.clawsindia.in,hostname,UTA0137 related indicators
webdisk.clawsindia.in,hostname,UTA0137 related indicators
webmail.clawsindia.in,hostname,UTA0137 related indicators
whm.clawsindia.in,hostname,UTA0137 related indicators
dev.nic-tech.in,hostname,UTA0137 related indicators
www.clawsindia.in,hostname,UTA0137 related indicators
www.dev.clawsindia.in,hostname,UTA0137 related indicators
mx10.clawsindia.in,hostname,UTA0137 related indicators
mx4.clawsindia.in,hostname,UTA0137 related indicators
ns1.clawsindia.in,hostname,UTA0137 related indicators
old.clawsindia.in,hostname,UTA0137 related indicators
pop.clawsindia.in,hostname,UTA0137 related indicators
pop3.clawsindia.in,hostname,UTA0137 related indicators
portal.clawsindia.in,hostname,UTA0137 related indicators
shop.clawsindia.in,hostname,UTA0137 related indicators
www.mailgate.clawsindia.in,hostname,UTA0137 related indicators
www.old.clawsindia.in,hostname,UTA0137 related indicators
www.shop.clawsindia.in,hostname,UTA0137 related indicators
www.www.clawsindia.in,hostname,UTA0137 related indicators
www2.clawsindia.in,hostname,UTA0137 related indicators
defenseinsight.in,hostname,UTA0137 related indicators
www.secy-org.in,hostname,UTA0137 related indicators
awesscholarship.in,hostname,UTA0137 related indicators
secy-org.in,hostname,UTA0137 related indicators
nic-tech.in,hostname,UTA0137 related indicators
epar-online.in,hostname,UTA0137 related indicators
www.coordsec2.in,hostname,UTA0137 related indicators
email.estbsec.in,hostname,UTA0137 related indicators
email.coordsec2.in,hostname,UTA0137 related indicators
adfs.clawsindia.in,hostname,UTA0137 related indicators
app.clawsindia.in,hostname,UTA0137 related indicators
autoconfig.clawsindia.in,hostname,UTA0137 related indicators
blog.clawsindia.in,hostname,UTA0137 related indicators
email.gov.in.estbsec.in,hostname,UTA0137 related indicators
webdisk.estbsec.in,hostname,UTA0137 related indicators
www.estbsec.in,hostname,UTA0137 related indicators
localhost.clawsindia.in,hostname,UTA0137 related indicators
m.clawsindia.in,hostname,UTA0137 related indicators
mail.clawsindia.in,hostname,UTA0137 related indicators
mail6.clawsindia.in,hostname,UTA0137 related indicators
mailgate.clawsindia.in,hostname,UTA0137 related indicators
mailrelay.clawsindia.in,hostname,UTA0137 related indicators
mbox.clawsindia.in,hostname,UTA0137 related indicators
mx0.clawsindia.in,hostname,UTA0137 related indicators
cpanel.clawsindia.in,hostname,UTA0137 related indicators
dev.clawsindia.in,hostname,UTA0137 related indicators
ftp.clawsindia.in,hostname,UTA0137 related indicators
